2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
3.96,1.3206558565,-1.169899483,-6.805537889
3.97,1.3350412153,-1.1702967324,-6.8126558252
3.98,1.3382379617,-1.17188573,-6.8217509659
3.99,1.3326436555,-1.173871977,-6.8296597839
4.00,1.3258505694,-1.1782417204,-6.8296597839
4.01,1.3158607369,-1.1853922096,-6.8138421479
4.02,1.3042725312,-1.1961179434,-6.7893248121
4.03,1.2926843255,-1.2040629314,-6.7683664444
4.04,1.2767005935,-1.2128024182,-6.7371266133
4.05,1.2647127945,-1.2211446556,-6.7058867822
4.06,1.2571205218,-1.221541905,-6.6845329736
4.07,1.2495282491,-1.2183639098,-6.667133574
4.08,1.2431347563,-1.2199529074,-6.659224756
4.09,1.234743297,-1.2207474062,-6.6536885834
4.10,1.2311469573,-1.2219391544,-6.64340712
4.11,1.2319461439,-1.223528152,-6.6410344746
4.12,1.2311469573,-1.2310758906,-6.6441980018
4.13,1.2355424836,-1.2517328594,-6.647361529
4.14,1.23873923,-1.2727870776,-6.6548749061
4.15,1.2327453305,-1.2795403174,-6.678996801
4.16,1.2323457372,-1.2747733246,-6.7169591274
4.17,1.23873923,-1.2696090824,-6.7474080767
4.18,1.2479298759,-1.2684173342,-6.7758798215
4.19,1.2611164548,-1.2616640944,-6.8031652436
4.20,1.2719054739,-1.2545136052,-6.8122603843
4.21,1.2774997801,-1.255308104,-6.8039561254
4.22,1.286690426,-1.2584860992,-6.7869521667
4.23,1.2846924595,-1.2588833486,-6.7561077765
4.24,1.2719054739,-1.2588833486,-6.7248679454
4.25,1.2611164548,-1.2481576148,-6.7197272137
4.26,1.2483294692,-1.2398153774,-6.7454308722
4.27,1.234743297,-1.2461713678,-6.7715299716
4.28,1.222755498,-1.2596778474,-6.7731117352
4.29,1.2219563114,-1.2616640944,-6.7434536677
4.30,1.2355424836,-1.2410071256,-6.6991642869
4.31,1.250727029,-1.2092271736,-6.6623882832
4.32,1.262714828,-1.1861867084,-6.6327302157
4.33,1.2731042538,-1.1794334686,-6.6121672889
4.34,1.2810961198,-1.183803212,-6.60386303
4.35,1.27869856,-1.1933371976,-6.6046539118
4.36,1.2615160481,-1.2024739338,-6.6093992026
4.37,1.2463315027,-1.2072409266,-6.6240305159
4.38,1.234743297,-1.2060491784,-6.6540840243
4.39,1.2215567181,-1.1965151928,-6.6817648873
4.40,1.2135648521,-1.187775706,-6.7011414914
4.41,1.2131652588,-1.1853922096,-6.7201226546
4.42,1.2211571248,-1.1834059626,-6.7371266133
4.43,1.2259522444,-1.1802279674,-6.7525488084
4.44,1.2259522444,-1.1794334686,-6.7671801217
4.45,1.2291489908,-1.1782417204,-6.7762752624
4.46,1.2391388233,-1.1714884806,-6.7798342305
4.47,1.2559217419,-1.161954495,-6.7845795213
4.48,1.2763010002,-1.1583792504,-6.7940701029
4.49,1.2962806652,-1.1667214878,-6.8011880391
4.50,1.3102664307,-1.1834059626,-6.8071196526
4.51,1.3050717178,-1.2048574302,-6.8166102342
4.52,1.286690426,-1.2199529074,-6.8154239115
4.53,1.27869856,-1.219555658,-6.7952564256
4.54,1.2806965265,-1.215583164,-6.7746934988
4.55,1.2850920528,-1.2128024182,-6.7679710035
4.56,1.2854916461,-1.2084326748,-6.7616439491
4.57,1.2798973399,-1.1992959386,-6.7497807221
4.58,1.2703071007,-1.185789459,-6.7418719041
4.59,1.2623152347,-1.1766527228,-6.7387083769
4.60,1.2603172682,-1.169899483,-6.7371266133
4.61,1.2623152347,-1.165926989,-6.7387083769
4.62,1.2659115744,-1.1710912312,-6.7398946996
4.63,1.2711062873,-1.187775706,-6.7493852812
4.64,1.2818953064,-1.2084326748,-6.7679710035
4.65,1.2942826987,-1.2227336532,-6.7913020166
4.66,1.2998770049,-1.2306786412,-6.8071196526
4.67,1.3018749714,-1.2358428834,-6.8154239115
4.68,1.3158607369,-1.2306786412,-6.8181919978
4.69,1.3370391818,-1.2227336532,-6.8122603843
4.70,1.3510249473,-1.2203501568,-6.8000017164
4.71,1.3606151865,-1.2159804134,-6.7913020166
4.72,1.3698058324,-1.2092271736,-6.7893248121
4.73,1.3750005453,-1.2032684326,-6.7853704031
4.74,1.374600952,-1.201679435,-6.7727162943
4.75,1.3642115262,-1.2004876868,-6.7600621855
4.76,1.3438322679,-1.2028711832,-6.7450354313
4.77,1.3238526029,-1.2092271736,-6.7232861818
4.78,1.3118648039,-1.2104189218,-6.7058867822
4.79,1.3042725312,-1.2040629314,-6.6999551687
4.80,1.294682292,-1.1969124422,-6.7031186959
4.81,1.2834936796,-1.1985014398,-6.7141910411
4.82,1.2763010002,-1.2052546796,-6.7213089773
4.83,1.2767005935,-1.2000904374,-6.7070731049
4.84,1.274702627,-1.1822142144,-6.6916509098
4.85,1.2731042538,-1.1631462432,-6.6956053188
4.86,1.2767005935,-1.1516260106,-6.7023278141
4.87,1.2774997801,-1.1464617684,-6.7043050186
4.88,1.2798973399,-1.1448727708,-6.7031186959
4.89,1.2794977466,-1.1452700202,-6.7011414914
4.90,1.2759014069,-1.1448727708,-6.6995597278
4.91,1.2870900193,-1.1412975262,-6.7074685458
4.92,1.3014753781,-1.1397085286,-6.7240770636
4.93,1.3010757848,-1.144078272,-6.7414764632
4.94,1.298678225,-1.1448727708,-6.7509670448
4.95,1.3034733446,-1.1476535166,-6.754130572
4.96,1.3082684642,-1.1607627468,-6.7561077765
4.97,1.3070696843,-1.1742692264,-6.7434536677
4.98,1.3050717178,-1.1782417204,-6.7240770636
4.99,1.3018749714,-1.175858224,-6.7189363319
5.00,1.2902867657,-1.1710912312,-6.7252633863
5.01,1.2727046605,-1.1687077348,-6.7315904407
5.02,1.266710761,-1.1691049842,-6.7379174951
5.03,1.2731042538,-1.1726802288,-6.7470126358
5.04,1.2763010002,-1.1834059626,-6.7458263131
5.05,1.2719054739,-1.1965151928,-6.7335676452
5.06,1.2591184883,-1.2088299242,-6.7201226546
5.07,1.2459319094,-1.2159804134,-6.7035141368
5.08,1.2391388233,-1.2207474062,-6.6793922419
5.09,1.2315465506,-1.2271033966,-6.6639700468
5.10,1.2291489908,-1.2310758906,-6.6635746059
5.11,1.2411367898,-1.2271033966,-6.6639700468
5.12,1.2619156414,-1.223528152,-6.671087983
5.13,1.2755018136,-1.2278978954,-6.6924417916
5.14,1.2850920528,-1.233459387,-6.7098411912
5.15,1.294682292,-1.2318703894,-6.7118183957
5.16,1.2994774116,-1.2263088978,-6.7114229548
5.17,1.2974794451,-1.2207474062,-6.7094457503
