2022.05.23 11:02:00,,,
GOSHO,,,
G1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
3.28,-1.492281952,-2.3299056012,-7.0323215761
3.29,-1.477156128,-2.3211104874,-7.070810274
3.30,-1.47476784,-2.2943253681,-7.0727942275
3.31,-1.477156128,-2.2775346963,-7.0692231112
3.32,-1.487107328,-2.262742914,-7.0632712507
3.33,-1.514174592,-2.254747356,-7.0493835762
3.34,-1.535669184,-2.2603442466,-7.0485899948
3.35,-1.546814528,-2.2603442466,-7.0557322274
3.36,-1.554775488,-2.2475513538,-7.0652552042
3.37,-1.555571584,-2.2395557958,-7.0795396694
3.38,-1.5523872,-2.2531482444,-7.0839043671
3.39,-1.555571584,-2.2671404709,-7.0831107857
3.40,-1.572687648,-2.2863298101,-7.082713995
3.41,-1.58025056,-2.3095169283,-7.0819204136
3.42,-1.583036896,-2.3259078222,-7.0755717624
3.43,-1.593386144,-2.3434980498,-7.0652552042
3.44,-1.584629088,-2.3590893879,-7.0450188785
3.45,-1.55835792,-2.3610882774,-7.0212114365
3.46,-1.53845552,-2.3406996045,-7.0077205527
3.47,-1.529698464,-2.3075180388,-7.0208146458
3.48,-1.51059216,-2.262742914,-7.0446220878
3.49,-1.484320992,-2.2179677892,-7.0600969251
3.50,-1.464418592,-2.1911826699,-7.0716038554
3.51,-1.464418592,-2.1831871119,-7.070810274
3.52,-1.471981504,-2.1871848909,-7.0593033437
3.53,-1.476360032,-2.1963797826,-7.0168467388
3.54,-1.491087808,-2.2047751185,-6.9724061804
3.55,-1.515368736,-2.2051748964,-6.9553441803
3.56,-1.550795008,-2.2175680113,-6.9315367383
3.57,-1.591793952,-2.2419544632,-6.8950319939
3.58,-1.621647552,-2.2559466897,-6.8704309705
3.59,-1.63398704,-2.2543475781,-6.8811443194
3.60,-1.643142144,-2.2483509096,-6.9164586917
3.61,-1.651501152,-2.2451526864,-6.9731997618
3.62,-1.641549952,-2.242754019,-7.0414477622
3.63,-1.633588992,-2.2451526864,-7.1029503207
3.64,-1.641948,-2.2611438024,-7.1497716233
3.65,-1.648714816,-2.2839311427,-7.1592946001
3.66,-1.635181184,-2.298722925,-7.1366775302
3.67,-1.616870976,-2.3043198156,-7.1073150184
3.68,-1.605725632,-2.3011215924,-7.074778181
3.69,-1.579056416,-2.2931260344,-7.0446220878
3.70,-1.529300416,-2.2851304764,-7.0386702273
3.71,-1.489893664,-2.2743364731,-7.0485899948
3.72,-1.476360032,-2.2495502433,-7.0541450646
3.73,-1.461632256,-2.2171682334,-7.0608905065
3.74,-1.444516192,-2.1919822257,-7.0620808786
3.75,-1.4528752,-2.1779899992,-7.0664455763
3.76,-1.475961984,-2.1863853351,-7.0660487856
3.77,-1.49865072,-2.2119711207,-7.0485899948
3.78,-1.522135552,-2.2419544632,-7.015259576
3.79,-1.542436,-2.2751360289,-6.9652639478
3.80,-1.546018432,-2.2959244797,-6.9224105522
3.81,-1.550795008,-2.3091171504,-6.8946352032
3.82,-1.569503264,-2.3143142631,-6.8866993892
3.83,-1.587415424,-2.3135147073,-6.8815411101
3.84,-1.584629088,-2.2979233692,-6.8855090171
3.85,-1.577862272,-2.2807329195,-6.9216169708
3.86,-1.582638848,-2.2687395825,-6.9704222269
3.87,-1.572687648,-2.2639422477,-7.0077205527
3.88,-1.537261376,-2.2715380278,-7.0422413436
3.89,-1.52054336,-2.2847306985,-7.0672391577
3.90,-1.5324848,-2.3123153736,-7.0716038554
3.91,-1.52850432,-2.3391004929,-7.066842367
3.92,-1.522931648,-2.3522931636,-7.0525579018
3.93,-1.540843808,-2.3414991603,-7.0565258088
3.94,-1.551989152,-2.3179122642,-7.0771589252
3.95,-1.540843808,-2.294725146,-7.0858883206
3.96,-1.51457264,-2.2751360289,-7.0819204136
3.97,-1.483922944,-2.2631426919,-7.0858883206
3.98,-1.459642016,-2.2435535748,-7.1009663672
3.99,-1.457651776,-2.2367573505,-7.0977920416
4.00,-1.459243968,-2.2611438024,-7.0632712507
4.01,-1.463622496,-2.2799333637,-7.031131204
4.02,-1.501039008,-2.2811326974,-7.0132756225
4.03,-1.553183296,-2.2971238134,-6.9981975759
4.04,-1.579056416,-2.3163131526,-6.9779612502
4.05,-1.589405664,-2.3203109316,-6.9541538082
4.06,-1.60612368,-2.31871182,-6.9402661337
4.07,-1.616472928,-2.3231093769,-6.9339174825
4.08,-1.616870976,-2.3243087106,-6.9224105522
4.09,-1.600551008,-2.3263076001,-6.9331239011
4.10,-1.573483744,-2.3311049349,-6.9513762733
4.11,-1.559154016,-2.3223098211,-6.9561377617
4.12,-1.5523872,-2.3271071559,-6.9585185059
4.13,-1.532086752,-2.3275069338,-6.9581217152
4.14,-1.51656288,-2.3119155957,-6.9652639478
4.15,-1.521339456,-2.2963242576,-6.9815323665
4.16,-1.525319936,-2.2999222587,-6.9962136224
4.17,-1.51656288,-2.3123153736,-7.015259576
4.18,-1.508999968,-2.314714041,-7.0331151575
4.19,-1.507009728,-2.3247084885,-7.0422413436
4.20,-1.512980448,-2.3323042686,-7.0521611111
4.21,-1.522135552,-2.3371016034,-7.0374798552
4.22,-1.532086752,-2.3371016034,-6.9962136224
4.23,-1.546018432,-2.3430982719,-6.9608992501
4.24,-1.577862272,-2.338700715,-6.923997715
4.25,-1.604531488,-2.3311049349,-6.9045549707
4.26,-1.602541248,-2.3155135968,-6.9335206918
4.27,-1.60015296,-2.2959244797,-6.9668511106
4.28,-1.601347104,-2.2863298101,-6.9819291572
4.29,-1.583832992,-2.286729588,-6.9950232503
4.30,-1.559552064,-2.2931260344,-6.9862938549
4.31,-1.553979392,-2.2967240355,-6.9787548316
4.32,-1.545222336,-2.3175124863,-6.9843099014
4.33,-1.540843808,-2.3379011592,-6.9652639478
4.34,-1.540843808,-2.354691831,-6.9390757616
4.35,-1.534873088,-2.3694836133,-6.9144747382
4.36,-1.542037952,-2.3750805039,-6.9113004126
4.37,-1.573881792,-2.3550916089,-6.9299495755
4.38,-1.598958816,-2.3367018255,-6.9327271104
4.39,-1.60413344,-2.3223098211,-6.9390757616
4.40,-1.610502208,-2.2955247018,-6.9684382734
4.41,-1.600551008,-2.270738472,-7.0025622736
4.42,-1.56830912,-2.2499500212,-7.0418445529
4.43,-1.540047712,-2.2303609041,-7.0815236229
4.44,-1.523727744,-2.2283620146,-7.1112829254
4.45,-1.520145312,-2.2415546853,-7.1120765068
4.46,-1.536863328,-2.2659411372,-7.0831107857
4.47,-1.549998912,-2.2911271449,-7.0525579018
4.48,-1.549600864,-2.302720704,-7.047002832
4.49,-1.54442624,-2.3087173725,-7.0541450646
4.50,-1.527708224,-2.3091171504,-7.0597001344
4.51,-1.51656288,-2.3075180388,-7.0704134833
4.52,-1.527708224,-2.2991227029,-7.090649809
4.53,-1.544824288,-2.2899278112,-7.1061246463
4.54,-1.555173536,-2.2923264786,-7.1069182277
4.55,-1.565522784,-2.2879289217,-7.0973952509
4.56,-1.572687648,-2.2847306985,-7.0858883206
4.57,-1.56631888,-2.2763353626,-7.0775557159
4.58,-1.557561824,-2.2651415814,-7.0731910182
4.59,-1.555969632,-2.2583453571,-7.0557322274
4.60,-1.549998912,-2.2551471339,-7.0418445529
4.61,-1.5523872,-2.2527484665,-7.0473996227
4.62,-1.559154016,-2.254747356,-7.0573193902
4.63,-1.546814528,-2.2695391383,-7.0712070647
4.64,-1.525319936,-2.2803331416,-7.0922369718
4.65,-1.516960928,-2.2855302543,-7.1069182277
4.66,-1.506213632,-2.290727367,-7.1061246463
4.67,-1.487505376,-2.2875291438,-7.1092989719
4.68,-1.483922944,-2.2683398046,-7.1231866464
4.69,-1.495466336,-2.2499500212,-7.1259641813
4.70,-1.501835104,-2.242754019,-7.1219962743
4.71,-1.507407776,-2.2359577947,-7.1081085998
4.72,-1.5225336,-2.2359577947,-7.0807300415
4.73,-1.529698464,-2.2511493549,-7.0446220878
4.74,-1.51457264,-2.2679400267,-7.0168467388
4.75,-1.503427296,-2.2711382499,-6.9950232503
4.76,-1.503029248,-2.2695391383,-6.9886745991
4.77,-1.49467024,-2.266740693,-6.9894681805
4.78,-1.483126848,-2.2647418035,-6.9898649712
4.79,-1.492281952,-2.2719378057,-6.9882778084
4.80,-1.521737504,-2.2783342521,-6.9902617619
4.81,-1.539649664,-2.2851304764,-6.9843099014
4.82,-1.54840672,-2.2923264786,-6.9628832036
4.83,-1.562736448,-2.2971238134,-6.9513762733
4.84,-1.569105216,-2.2931260344,-6.9628832036
4.85,-1.562736448,-2.286729588,-6.9696286455
4.86,-1.542436,-2.27873403,-6.9704222269
4.87,-1.522931648,-2.2567462455,-6.9803419944
4.88,-1.511786304,-2.2311604599,-7.0061333899
4.89,-1.502233152,-2.2111715649,-7.019227483
4.90,-1.488301472,-2.2167684555,-6.9981975759
4.91,-1.468001024,-2.2311604599,-6.9735965525
4.92,-1.452477152,-2.2291615704,-6.971612599
4.93,-1.452477152,-2.2211660124,-6.9672479013
4.94,-1.458049824,-2.2135702323,-6.9688350641
4.95,-1.46481664,-2.2083731196,-6.9791516223
4.96,-1.483524896,-2.2055746743,-6.9918489247
4.97,-1.508999968,-2.2155691218,-7.0049430178
4.98,-1.527708224,-2.2455524643,-6.9970072038
4.99,-1.533678944,-2.2835313648,-6.9831195293
5.00,-1.534076992,-2.3099167062,-6.9906585526
5.01,-1.538057472,-2.3171127084,-7.0124820411
5.02,-1.540843808,-2.3167129305,-7.0331151575
5.03,-1.534873088,-2.3139144852,-7.0434317157
5.04,-1.535271136,-2.3175124863,-7.050970739
5.05,-1.554775488,-2.3247084885,-7.0533514832
5.06,-1.579454464,-2.3446973835,-7.0418445529
5.07,-1.585823232,-2.3622876111,-7.0263697156
5.08,-1.577066176,-2.3686840575,-7.0243857621
5.09,-1.561940352,-2.3646862785,-7.0196242737
5.10,-1.529698464,-2.3674847238,-7.0077205527
5.11,-1.50462144,-2.3594891658,-7.0045462271
5.12,-1.51059216,-2.3395002708,-6.9966104131
5.13,-1.53049456,-2.3259078222,-6.9771676688
