2022.05.23 11:02:00,,,
GOSHO,,,
T1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
2.34,-2.1155163516,-2.4332463063,-8.170499643
2.35,-2.1218585404,-2.4197876477,-8.139281763
2.36,-2.1282007292,-2.4083082036,-8.1076736595
2.37,-2.1377140124,-2.4197876477,-8.0928451665
2.38,-2.1488128428,-2.4368088924,-8.0803580145
2.39,-2.1611008336,-2.442350693,-8.0585054985
2.40,-2.1757671452,-2.4407673214,-8.026116948
2.41,-2.186073202,-2.4368088924,-7.994118621
2.42,-2.1785418528,-2.4336421492,-7.976948787
2.43,-2.1714068904,-2.4209751764,-7.984753257
2.44,-2.1801274,-2.3837659438,-8.004264432
2.45,-2.2027214476,-2.3457650254,-8.015971137
2.46,-2.2221444008,-2.3489317686,-8.023775607
2.47,-2.2340360048,-2.3762449287,-8.044067229
2.48,-2.2328468444,-2.390891116,-8.0897233785
2.49,-2.2229371744,-2.410683261,-8.1279652815
2.50,-2.2185769196,-2.4435382217,-8.136159975
2.51,-2.2150094384,-2.4851017262,-8.118990141
2.52,-2.2050997684,-2.5242901733,-8.0889429315
2.53,-2.19994674,-2.5523950192,-8.0483596875
2.54,-2.2027214476,-2.5563534482,-8.012068902
2.55,-2.1932081644,-2.5278527594,-8.0163613605
2.56,-2.1773526924,-2.4894559981,-8.037823653
2.57,-2.1809201736,-2.4684763244,-8.0452378995
2.58,-2.1936045512,-2.4704555389,-8.0272876185
2.59,-2.19994674,-2.4930185842,-7.9804607985
2.60,-2.1955864852,-2.5381446748,-7.9305121905
2.61,-2.1983611928,-2.596729424,-7.8860267115
2.62,-2.2165949856,-2.6311677563,-7.8704177715
2.63,-2.2360179388,-2.6248342699,-7.8891484995
2.64,-2.2447384484,-2.6066254965,-7.902806322
2.65,-2.2562336656,-2.5880208802,-7.8938311815
2.66,-2.2835843548,-2.5666453636,-7.887197382
2.67,-2.3061784024,-2.5539783908,-7.9016356515
2.68,-2.3303579972,-2.5496241189,-7.9242686145
2.69,-2.3402676672,-2.53339456,-7.9547060475
2.70,-2.3279796764,-2.5128107292,-7.9937283975
2.71,-2.3045928552,-2.4878726265,-8.030019183
2.72,-2.2748638452,-2.4664971099,-8.047969464
2.73,-2.2471167692,-2.4684763244,-8.06201751
2.74,-2.2348287784,-2.4767890253,-8.0694317565
2.75,-2.2391890332,-2.4775807111,-8.072943768
2.76,-2.2463239956,-2.4744139679,-8.0850406965
2.77,-2.253458958,-2.470059696,-8.0787971205
2.78,-2.2550445052,-2.4641220525,-8.0663099685
2.79,-2.23958542,-2.4637262096,-8.076065556
2.80,-2.2035142212,-2.4657054241,-8.10884433
2.81,-2.1654610884,-2.477976554,-8.105722542
2.82,-2.1400923332,-2.5092481431,-8.0678708625
2.83,-2.1341465312,-2.5476449044,-8.0569446045
2.84,-2.1408851068,-2.5761455932,-8.064358851
2.85,-2.1535694844,-2.5773331219,-8.0741144385
2.86,-2.1733888244,-2.5484365902,-8.094015837
2.87,-2.1947937116,-2.5223109588,-8.0959669545
2.88,-2.2102527968,-2.525477702,-8.06201751
2.89,-2.2368107124,-2.5349779316,-8.025336501
2.90,-2.285169902,-2.5132065721,-8.0210440425
2.91,-2.3418532144,-2.4847058833,-8.0218244895
2.92,-2.3806991208,-2.4843100404,-7.9984110795
2.93,-2.3957618192,-2.4953936416,-7.9812412455
2.94,-2.3854557624,-2.5068730857,-7.994118621
2.95,-2.3517628844,-2.5262693878,-8.013629796
2.96,-2.3061784024,-2.553186705,-8.008947114
2.97,-2.24949509,-2.5682287352,-8.005825326
2.98,-2.1983611928,-2.5785206506,-8.005044879
2.99,-2.164271928,-2.5998961672,-7.99177728
3.00,-2.1519839372,-2.6014795388,-8.000362197
3.01,-2.16030806,-2.5591243485,-8.037823653
3.02,-2.1587225128,-2.5044980283,-8.072943768
3.03,-2.1357320784,-2.4716430676,-8.086211367
3.04,-2.1329573708,-2.4439340646,-8.0912842725
3.05,-2.1480200692,-2.4209751764,-8.097918072
3.06,-2.1468309088,-2.4387881069,-8.0819189085
3.07,-2.1456417484,-2.4843100404,-8.0530423695
3.08,-2.1575333524,-2.5048938712,-8.02299516
3.09,-2.1559478052,-2.4934144271,-7.9991915265
3.10,-2.1507947768,-2.481934983,-7.9828021395
3.11,-2.1595152864,-2.4843100404,-7.9625105175
3.12,-2.1587225128,-2.4787682398,-7.9570473885
3.13,-2.1515875504,-2.4629345238,-7.969144317
3.14,-2.1611008336,-2.4490800223,-7.983192363
3.15,-2.1829021076,-2.4451215933,-7.983192363
3.16,-2.2102527968,-2.4526426084,-7.9632909645
3.17,-2.2233335612,-2.4771848682,-7.9234881675
3.18,-2.2205588536,-2.5219151159,-7.886416935
3.19,-2.2126311176,-2.5698121068,-7.863783972
3.20,-2.205892542,-2.5797081793,-7.884856041
3.21,-2.1924153908,-2.5508116476,-7.941828672
3.22,-2.1725960508,-2.5199359014,-8.0101177845
3.23,-2.1571369656,-2.5044980283,-8.0670904155
3.24,-2.1527767108,-2.5029146567,-8.07762645
3.25,-2.1567405788,-2.5072689286,-8.0655295215
3.26,-2.1706141168,-2.5223109588,-8.0811384615
3.27,-2.1773526924,-2.5468532186,-8.1209412585
3.28,-2.1805237868,-2.5575409769,-8.153329809
3.29,-2.1936045512,-2.545269847,-8.1388915395
3.30,-2.1928117776,-2.5337904029,-8.108063883
3.31,-2.1777490792,-2.5476449044,-8.078406897
3.32,-2.1686321828,-2.5555617624,-8.0475792405
3.33,-2.1733888244,-2.5250818591,-8.0374334295
3.34,-2.1908298436,-2.4946019558,-8.0350920885
3.35,-2.211838344,-2.4831225117,-8.020653819
3.36,-2.2320540708,-2.4752056537,-8.010508008
3.37,-2.2348287784,-2.4601636235,-8.0140200195
3.38,-2.231657684,-2.446309122,-8.0257267245
3.39,-2.2280902028,-2.45422598,-8.026897395
3.40,-2.2253154952,-2.4854975691,-8.0163613605
3.41,-2.2225407876,-2.5234984875,-8.0155809135
3.42,-2.2213516272,-2.5460615328,-8.019092925
3.43,-2.2383962596,-2.5397280464,-8.015971137
3.44,-2.2570264392,-2.5108315147,-8.0148004665
3.45,-2.253458958,-2.477976554,-8.0218244895
3.46,-2.235621552,-2.4589760948,-8.037043206
3.47,-2.227693816,-2.4546218229,-8.0343116415
3.48,-2.221748014,-2.442350693,-8.0280680655
3.49,-2.20985641,-2.4292878773,-8.033140971
3.50,-2.1765599188,-2.4193918048,-8.037823653
3.51,-2.1337501444,-2.398807974,-8.040945441
3.52,-2.1111560968,-2.3809950435,-8.0358725355
3.53,-2.12066938,-2.3786199861,-8.012068902
3.54,-2.1389031728,-2.3904952731,-7.9788999045
3.55,-2.1547586448,-2.4150375329,-7.95275493
3.56,-2.1785418528,-2.4506633939,-7.942609119
3.57,-2.2150094384,-2.497768699,-7.931682861
3.58,-2.2550445052,-2.5302278168,-7.9188054855
3.59,-2.2879446096,-2.5310195026,-7.917634815
3.60,-2.3053856288,-2.5143941008,-7.9445602365
3.61,-2.3160880724,-2.4894559981,-8.004264432
3.62,-2.3283760632,-2.4534342942,-8.082309132
3.63,-2.3125205912,-2.4182042761,-8.161134279
3.64,-2.2685216564,-2.4059331462,-8.222789592
3.65,-2.2364143256,-2.4102874181,-8.240739873
3.66,-2.2233335612,-2.4162250616,-8.2130340045
3.67,-2.2280902028,-2.434433835,-8.1615245025
3.68,-2.2403781936,-2.4771848682,-8.1092345535
3.69,-2.2471167692,-2.5278527594,-8.074504662
3.70,-2.2368107124,-2.5523950192,-8.07762645
3.71,-2.2249191084,-2.5322070313,-8.1107954475
3.72,-2.2122347308,-2.4882684694,-8.131477293
3.73,-2.1932081644,-2.4629345238,-8.1131367885
3.74,-2.1793346264,-2.4589760948,-8.0905038255
3.75,-2.1848840416,-2.4467049649,-8.074504662
3.76,-2.203910608,-2.4292878773,-8.050310805
3.77,-2.2169913724,-2.4296837202,-8.0249462775
3.78,-2.2340360048,-2.4526426084,-7.989435939
3.79,-2.2605939204,-2.4736222821,-7.945730907
3.80,-2.287151836,-2.4957894845,-7.9039769925
3.81,-2.2847735152,-2.5262693878,-7.876271124
3.82,-2.2645577884,-2.5484365902,-7.8829049235
3.83,-2.24949509,-2.5421031038,-7.9117814625
3.84,-2.2193696932,-2.5084564573,-7.9359753195
3.85,-2.1951900984,-2.4914352126,-7.9429993425
3.86,-2.1955864852,-2.4894559981,-7.959778953
3.87,-2.1975684192,-2.4752056537,-8.000362197
3.88,-2.1924153908,-2.458184409,-8.040945441
3.89,-2.1829021076,-2.4558093516,-8.0546032635
3.90,-2.1698213432,-2.4601636235,-8.055773934
3.91,-2.1515875504,-2.4799557685,-8.0374334295
3.92,-2.1297862764,-2.5060813999,-8.023775607
3.93,-2.112741644,-2.5060813999,-8.0397747705
3.94,-2.1123452572,-2.474018125,-8.081528685
3.95,-2.1238404744,-2.4439340646,-8.1131367885
3.96,-2.1270115688,-2.4411631643,-8.111966118
3.97,-2.1309754368,-2.4403714785,-8.105722542
3.98,-2.1595152864,-2.4158292187,-8.120551035
3.99,-2.1912262304,-2.4094957323,-8.1100150005
4.00,-2.2205588536,-2.4419548501,-8.072163321
