2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
2.40,-0.2091277638,-2.4795110912,-6.8440330809
2.41,-0.2175409497,-2.4917273728,-6.8153452785
2.42,-0.2263547635,-2.498426624,-6.7998060522
2.43,-0.2339666936,-2.4976384768,-6.8029935858
2.44,-0.2447836469,-2.4897570048,-6.8181343704
2.45,-0.2600075071,-2.4802992384,-6.8328767133
2.46,-0.2672188093,-2.4818755328,-6.8472206145
2.47,-0.268420693,-2.4929095936,-6.8711271165
2.48,-0.2656162977,-2.5039436544,-6.9034008942
2.49,-0.2620106466,-2.5149777152,-6.9300964881
2.50,-0.2596068792,-2.5267999232,-6.9416512974
2.51,-0.2547993444,-2.5425628672,-6.9360731136
2.52,-0.2547993444,-2.5532028544,-6.9065884278
2.53,-0.2584049955,-2.5539910016,-6.8623613991
2.54,-0.2620106466,-2.5488680448,-6.8364626886
2.55,-0.2636131582,-2.5429569408,-6.8424393141
2.56,-0.2596068792,-2.54177472,-6.8575800987
2.57,-0.2527962049,-2.5441391616,-6.8587754238
2.58,-0.2487899259,-2.5551732224,-6.8368611303
2.59,-0.2491905538,-2.5819702272,-6.7930325433
2.60,-0.2519949491,-2.6178309248,-6.745617981
2.61,-0.2547993444,-2.6465982976,-6.7169301786
2.62,-0.2608087629,-2.6611790208,-6.7049769276
2.63,-0.2700232046,-2.6623612416,-6.7037816025
2.64,-0.284445809,-2.6536916224,-6.7117504365
2.65,-0.3012721808,-2.6418694144,-6.7125473199
2.66,-0.3257104827,-2.6276827648,-6.7101566697
2.67,-0.3505494125,-2.6099494528,-6.7201177122
2.68,-0.3693789238,-2.5859109632,-6.7440242142
2.69,-0.372583947,-2.5587198848,-6.7778917587
2.70,-0.3589625984,-2.5374399104,-6.8153452785
2.71,-0.336527436,-2.5224651136,-6.8464237311
2.72,-0.3217042037,-2.5126132736,-6.8647520493
2.73,-0.3132910178,-2.5067021696,-6.8747130918
