2022.05.23 11:02:00,,,
GOSHO,,,
F1,,,
,N14W,N76E,
TIME(s),STREAM(gal),DAMAXIS(gal),U-D(gal)
1.68,-0.200714578,-2.533499174,-6.898619594
1.69,-0.209127764,-2.527193997,-6.901807127
1.7,-0.216739694,-2.522465114,-6.906588428
1.71,-0.20792588,-2.526011776,-6.918541679
1.72,-0.195907043,-2.532711027,-6.927307396
1.73,-0.197910183,-2.542562867,-6.929299605
1.74,-0.207124624,-2.556749517,-6.928901163
1.75,-0.218742833,-2.57133024,-6.912166612
1.76,-0.229960415,-2.58118208,-6.882283484
1.77,-0.237572345,-2.584334669,-6.85319724
1.78,-0.253998089,-2.58669911,-6.828095413
1.79,-0.271225088,-2.59103392,-6.805782678
1.8,-0.267619437,-2.591427994,-6.79223566
1.81,-0.248389298,-2.59103392,-6.805782678
1.82,-0.236370461,-2.59536873,-6.834072038
1.83,-0.231162298,-2.600097613,-6.856783215
1.84,-0.23076167,-2.606796864,-6.874713092
1.85,-0.225954136,-2.612313894,-6.893838293
1.86,-0.217140322,-2.608767232,-6.912565053
1.87,-0.216339066,-2.598127245,-6.922127654
1.88,-0.22314974,-2.585910963,-6.916151029
1.89,-0.228357903,-2.57566505,-6.892642968
1.9,-0.227156019,-2.569753946,-6.859572307
1.91,-0.228758531,-2.568965798,-6.826103204
1.92,-0.23276481,-2.574482829,-6.797415402
1.93,-0.234367322,-2.582758374,-6.781876176
1.94,-0.239174856,-2.592216141,-6.775501109
1.95,-0.246386159,-2.600097613,-6.768329158
1.96,-0.2556006,-2.604826496,-6.769524483
1.97,-0.268420693,-2.601673907,-6.775501109
1.98,-0.278035763,-2.590639846,-6.784266826
1.99,-0.279237646,-2.57684727,-6.799009169
2,-0.279237646,-2.558719885,-6.812157745
2.01,-0.279638274,-2.544533235,-6.823314113
2.02,-0.28043953,-2.542562867,-6.837658014
2.03,-0.276032623,-2.543745088,-6.855986332
2.04,-0.266818181,-2.53743991,-6.875509975
2.05,-0.264815042,-2.522859187,-6.893838293
2.06,-0.265616298,-2.510248832,-6.913361937
2.07,-0.262010647,-2.495668109,-6.926510513
2.08,-0.254398717,-2.47714665,-6.942049739
2.09,-0.249591182,-2.463354074,-6.94683104
2.1,-0.247187414,-2.45862519,-6.944838831
2.11,-0.241979252,-2.467688883,-6.953206107
2.12,-0.237972973,-2.483451827,-6.966753125
2.13,-0.239976112,-2.490939226,-6.979104817
2.14,-0.247588042,-2.494485888,-6.983487676
2.15,-0.254799344,-2.507490317,-6.966753125
2.16,-0.266417554,-2.533499174,-6.926908955
2.17,-0.282042042,-2.55714359,-6.867541141
2.18,-0.294060879,-2.574482829,-6.800602936
2.19,-0.288852716,-2.589851699,-6.742828889
2.2,-0.278436391,-2.603250202,-6.720516154
2.21,-0.271225088,-2.608767232,-6.726492779
2.22,-0.261209391,-2.609949453,-6.727688105
2.23,-0.256001228,-2.609161306,-6.730477196
2.24,-0.264815042,-2.60640279,-6.741633564
2.25,-0.276433251,-2.60088576,-6.746016423
2.26,-0.279237646,-2.594580582,-6.736852264
2.27,-0.28244267,-2.593398362,-6.728086546
2.28,-0.286448949,-2.592216141,-6.73844603
2.29,-0.283243925,-2.58118208,-6.774704225
2.3,-0.272426972,-2.564630989,-6.823314113
2.31,-0.256802484,-2.54610953,-6.885072576
2.32,-0.241578624,-2.523253261,-6.942846623
2.33,-0.222749112,-2.495668109,-6.97272975
2.34,-0.209528392,-2.470053325,-6.973526633
2.35,-0.209127764,-2.44759113,-6.953604548
2.36,-0.212733415,-2.435768922,-6.929698046
2.37,-0.215938438,-2.438527437,-6.913760378
2.38,-0.213534671,-2.452320013,-6.898221152
2.39,-0.207124624,-2.468082957,-6.87431465
2.4,-0.209127764,-2.479511091,-6.844033081
2.41,-0.21754095,-2.491727373,-6.815345279
2.42,-0.226354764,-2.498426624,-6.799806052
2.43,-0.233966694,-2.497638477,-6.802993586
2.44,-0.244783647,-2.489757005,-6.81813437
2.45,-0.260007507,-2.480299238,-6.832876713
2.46,-0.267218809,-2.481875533,-6.847220615
2.47,-0.268420693,-2.492909594,-6.871127117
2.48,-0.265616298,-2.503943654,-6.903400894
2.49,-0.262010647,-2.514977715,-6.930096488
2.5,-0.259606879,-2.526799923,-6.941651297
2.51,-0.254799344,-2.542562867,-6.936073114
2.52,-0.254799344,-2.553202854,-6.906588428
2.53,-0.258404996,-2.553991002,-6.862361399
2.54,-0.262010647,-2.548868045,-6.836462689
2.55,-0.263613158,-2.542956941,-6.842439314
2.56,-0.259606879,-2.54177472,-6.857580099
2.57,-0.252796205,-2.544139162,-6.858775424
2.58,-0.248789926,-2.555173222,-6.83686113
2.59,-0.249190554,-2.581970227,-6.793032543
2.6,-0.251994949,-2.617830925,-6.745617981
2.61,-0.254799344,-2.646598298,-6.716930179
2.62,-0.260808763,-2.661179021,-6.704976928
2.63,-0.270023205,-2.662361242,-6.703781603
2.64,-0.284445809,-2.653691622,-6.711750437
2.65,-0.301272181,-2.641869414,-6.71254732
2.66,-0.325710483,-2.627682765,-6.71015667
2.67,-0.350549413,-2.609949453,-6.720117712
2.68,-0.369378924,-2.585910963,-6.744024214
2.69,-0.372583947,-2.558719885,-6.777891759
2.7,-0.358962598,-2.53743991,-6.815345279
2.71,-0.336527436,-2.522465114,-6.846423731
2.72,-0.321704204,-2.512613274,-6.864752049
2.73,-0.313291018,-2.50670217,-6.874713092
2.74,-0.310085995,-2.50670217,-6.893838293
2.75,-0.314492902,-2.506308096,-6.903400894
2.76,-0.310486623,-2.507490317,-6.896627385
2.77,-0.298868413,-2.515371789,-6.891049202
2.78,-0.281240786,-2.526011776,-6.89543206
2.79,-0.260408135,-2.535863616,-6.908979078
2.8,-0.23276481,-2.548868045,-6.91654947
2.81,-0.203919601,-2.568965798,-6.910971287
2.82,-0.195105787,-2.588669478,-6.896627385
2.83,-0.207525252,-2.604432422,-6.879892834
2.84,-0.218742833,-2.618224998,-6.880689717
2.85,-0.223550368,-2.622953882,-6.89782271
2.86,-0.233566066,-2.617436851,-6.912963495
2.87,-0.251193693,-2.604826496,-6.902604011
2.88,-0.279638274,-2.59655095,-6.873916208
2.89,-0.317697925,-2.591427994,-6.853595682
2.9,-0.35295318,-2.581576154,-6.845228406
2.91,-0.376189598,-2.578029491,-6.829290738
2.92,-0.395019109,-2.581576154,-6.816142162
2.93,-0.404634179,-2.589457626,-6.813751512
2.94,-0.397422877,-2.600491686,-6.816540604
2.95,-0.369378924,-2.613890189,-6.81813437
2.96,-0.324508599,-2.628076838,-6.817337487
2.97,-0.28805146,-2.632411648,-6.816939045
2.98,-0.268020065,-2.625318323,-6.814548395
2.99,-0.245184275,-2.613890189,-6.823712554
3,-0.222348485,-2.600491686,-6.843634639
3.01,-0.20992902,-2.57684727,-6.862759841
3.02,-0.207124624,-2.543745088,-6.880291276
3.03,-0.200714578,-2.514583642,-6.897424269
3.04,-0.19270202,-2.50236736,-6.904994661
3.05,-0.187894485,-2.504337728,-6.899018036
3.06,-0.190298253,-2.513795494,-6.890252318
